"Guid","AnnualRevenue","City","Company","Country","Description","Email","EmailBouncedReason","FirstName","GeocodeAccuracy","Industry","IsConverted","IsUnreadByOwner","Jigsaw","LastName","Latitude","LeadSource","Longitude","NumberOfEmployees","Phone","PostalCode","Rating","Salutation","State","Status","Street","Title","Website","missing__c"
06b380ef-45e9-447b-9e49-76bcd0f9616c,16867.0,Marlborough,3C Systems,United States,"#N/A",info@salesforce.com,"#N/A",John,"#N/A",Aerospace & Defense,false,true,"#N/A",Gardner,"#N/A",Other,"#N/A",87200,(555) 555-1212,1752,"#N/A",Mr.,Massachusetts,New,1 Boston Rd,Exec VP,"#N/A","#N/A"
080fa364-9ad2-45e5-af27-939352d76fd6,33147.0,New York,"MedLife, Inc.",United States,"#N/A",info@salesforce.com,"#N/A",Sarah,"#N/A",Insurance,false,true,"#N/A",Loehr,"#N/A",Employee Referral,"#N/A",48500,(555) 555-1212,10010,"#N/A","#N/A",New York,Contacted,One Jones Avenue,System Administrator,"#N/A","#N/A"
0dbad4de-bf21-4ca2-8671-fc0adf81a879,28212.0,Hartford,Universal Technologies,United States,"#N/A",info@salesforce.com,"#N/A",Andy,"#N/A",Aerospace & Defense,false,true,"#N/A",Smith,"#N/A",Advertisement,"#N/A",155000,(555) 555-1212,6103,"#N/A",Mr.,Connecticut,New,Universal Building,Vice President,"#N/A","#N/A"
15dbe41b-ce10-4e08-9db0-56df1c63eff0,"#N/A","#N/A",123,"#N/A","#N/A","#N/A","#N/A",Any,"#N/A","#N/A",false,true,"#N/A",new,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A","#N/A"
39052e1f-9db3-4526-9f02-dc3494a978d3,"#N/A","#N/A",123,"#N/A","#N/A","#N/A","#N/A",Any,"#N/A","#N/A",false,true,"#N/A",new,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A","#N/A"
5908652e-fc37-4d9b-854a-fdd0e18f881d,19879.0,Hartford,BigLife Inc.,United States,"#N/A",info@salesforce.com,"#N/A",Jim,"#N/A",Insurance,false,true,"#N/A",Steele,"#N/A",Employee Referral,"#N/A",28000,(555) 555-1212,6156,"#N/A","#N/A",Connecticut,New,11 Farm Avenue,Senior VP,"#N/A","#N/A"
5d273251-7c18-4bc2-ad4a-1e618227f35f,"#N/A","#N/A",aqn,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",sns,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A","#N/A","#N/A","#N/A"
642ac7b1-90bb-46bd-9dc8-bfd91fec1546,"#N/A","#N/A",any,"#N/A","#N/A","#N/A","#N/A",Nov1,"#N/A","#N/A",false,true,"#N/A",1111,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A","#N/A","#N/A","#N/A"
743b7e92-ca34-4d81-81b7-c8803506d341,"#N/A","#N/A",test1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",test1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A","#N/A","#N/A","#N/A"
8e498e49-c2bc-4b6e-8382-3a2ea625fc27,"#N/A","#N/A",test1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",test1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A","#N/A","#N/A","#N/A"
9802f927-f308-43cd-a03e-0fb27e05292a,"#N/A","#N/A",aqn,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",sns,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A","#N/A","#N/A","#N/A"
9ff3d99c-3625-4800-a002-a010a38433ae,"#N/A","#N/A",any,"#N/A","#N/A","#N/A","#N/A",Nov1,"#N/A","#N/A",false,true,"#N/A",1111,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A","#N/A","#N/A","#N/A"
ae21b230-8723-4f9c-9436-7e5df65bff75,"#N/A","#N/A",aqn,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",sns,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A","#N/A","#N/A","#N/A"
af37592a-78fe-449b-8426-fa821153878b,"#N/A","#N/A",123,"#N/A","#N/A","#N/A","#N/A",Any,"#N/A","#N/A",false,true,"#N/A",new,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",New,"#N/A","#N/A","#N/A","#N/A"
c89d5ccf-c88a-4227-a1e4-beeacaa024ef,"#N/A","#N/A",test1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,true,"#N/A",test1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A","#N/A","#N/A","#N/A"
d486ec07-d502-42d1-a598-da8f159c7593,"#N/A","#N/A",any,"#N/A","#N/A","#N/A","#N/A",Nov1,"#N/A","#N/A",false,true,"#N/A",1111,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Mr.,"#N/A",New,"#N/A","#N/A","#N/A","#N/A"
